"","","","Year","Flow",""
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","1 135","1 135",""
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","1 232","","1 232"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","298 623","298 623",""
"","Burundi [BI]","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","1 742","1 742",""
"","Cambodia [KH]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","1 629 354","1 542 776","86 578"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","373 639","373 151","489"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","21 591 066","21 516 173","74 894"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","5 930 210","5 928 174","2 036"
"","","[854232] Electronic integrated circuits; memories","39 570","39 570",""
"","","[854233] Electronic integrated circuits; amplifiers","29 100","29 010","90"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","52 218 059","50 945 788","1 272 271"
"","","[854290] Parts of electronic integrated circuits","111 133","107 630","3 503"
"","Cameroon [CM]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","45 905","12 203","33 702"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","8 073","7 844","229"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","618 907","502 108","116 799"
"","","[854232] Electronic integrated circuits; memories","7 334","","7 334"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","17 144","","17 144"
"","","[854290] Parts of electronic integrated circuits","753","","753"
"","Canada [CA]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","67 934 313","37 695 859","30 238 454"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","68 636 620","66 888 970","1 747 650"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","1 294 600","1 153 366","141 235"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","461 001 761","69 391 548","391 610 213"
"","","[854232] Electronic integrated circuits; memories","29 109 175","29 037 013","72 162"
"","","[854233] Electronic integrated circuits; amplifiers","7 570 371","7 486 267","84 103"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","152 229 181","130 359 564","21 869 617"
"","","[854290] Parts of electronic integrated circuits","20 571 918","5 764 294","14 807 623"
"","Cape-Verde [CV]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","1 803","","1 803"
"","Cayman Islands [KY]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","1 503","1 503",""
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","13","","13"
"","","[854233] Electronic integrated circuits; amplifiers","39","","39"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","119 832","1 746","118 086"
"","Chad [TD]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","12","","12"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","1 758 750","1 758 750",""
"","Chile [CL]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","1 462 694","1 450 777","11 917"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","1 872 361","1 871 615","746"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","7 506","1 638","5 868"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","494 931","449 688","45 243"
"","","[854232] Electronic integrated circuits; memories","1 545 586","1 545 586",""
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","45 156","28 915","16 240"
"","","[854290] Parts of electronic integrated circuits","1 112","1 112",""
